price,resid_area,air_qual,room_num,age,distance,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,waterbody,rainfall,bus_ter,Sold
24.2,40.81,0.413,6.417,6.6,5.52,20.8,6.72,YES,9.784,14.1936,River,38,YES,1
21.7,40.81,0.413,5.961,17.5,5.44,20.8,9.88,NO,10.034,13.1736,Lake and River,46,YES,0
22.8,40.81,0.413,6.065,7.8,5.46,20.8,5.52,NO,5.856,10.1824,River,20,YES,0
23.4,40.81,0.413,6.245,6.2,5.36,20.8,7.54,YES,5.968,12.1872,Lake,45,YES,0
24.1,42.83,0.437,6.273,6,4.54,21.3,6.78,NO,7.882,10.1928,River,40,YES,0
21.4,42.83,0.437,6.286,45,4.83,21.3,8.94,NO,6.028,10.1712,None,28,YES,1
20,42.83,0.437,6.279,74.5,4.33,21.3,11.97,NO,7.3,12.16,None,22,YES,0
20.8,42.83,0.437,6.14,45.8,4.32,21.3,10.27,YES,5.916,11.1664,River,57,YES,0
21.2,42.83,0.437,6.232,53.7,5.34,21.3,12.34,YES,8.824,15.1696,Lake,53,YES,1
20.3,42.83,0.437,5.874,36.6,4.53,21.3,9.1,NO,6.406,15.1624,Lake and River,37,YES,1
28,34.86,0.426,6.727,33.5,5.5,21,5.29,YES,6.46,14.224,Lake,54,YES,1
23.9,34.86,0.426,6.619,70.4,5.71,21,7.22,YES,5.578,12.1912,Lake,49,YES,0
24.8,34.86,0.426,6.302,32.2,5.53,21,6.72,NO,6.096,10.1984,River,20,YES,0
22.9,34.86,0.426,6.167,46.7,5.52,21,7.51,YES,7.558,10.1832,Lake,34,YES,1
23.9,34.49,0.449,6.389,48,4.97,21.5,9.62,NO,6.678,14.1912,Lake,23,YES,0
26.6,34.49,0.449,6.63,56.1,4.75,21.5,6.53,NO,9.732,12.2128,River,56,YES,1
22.5,34.49,0.449,6.015,45.1,4.62,21.5,12.86,YES,5.95,11.18,River,50,YES,1
22.2,34.49,0.449,6.121,56.8,3.93,21.5,8.44,YES,7.244,12.1776,None,43,YES,0
23.6,33.41,0.489,7.007,86.3,3.5,22.2,5.5,NO,6.972,10.1888,River,28,YES,1
28.7,33.41,0.489,7.079,63.1,3.66,22.2,5.7,YES,7.574,15.2296,None,31,YES,1
22.6,33.41,0.489,6.417,66.1,3.14,22.2,8.81,YES,7.352,15.1808,Lake,58,YES,0
22,33.41,0.489,6.405,73.9,3.16,22.2,8.2,NO,8.24,13.176,River,23,YES,1
22.9,45.04,0.464,6.442,53.6,3.96,21.8,8.16,NO,9.158,14.1832,Lake,60,YES,1
25,45.04,0.464,6.211,28.9,3.92,21.8,6.21,NO,10.3,14.2,Lake and River,46,YES,1
20.6,45.04,0.464,6.249,77.3,3.81,21.8,10.59,NO,5.712,13.1648,Lake and River,54,YES,1
28.4,32.89,0.445,6.625,57.8,3.57,22,6.65,NO,9.968,14.2272,River,46,YES,1
21.4,32.89,0.445,6.163,69.6,3.58,22,11.34,NO,10.228,12.1712,River,21,YES,1
38.7,32.89,0.445,8.069,76,3.7,22,4.21,YES,6.274,12.3096,River,53,YES,1
43.8,32.89,0.445,7.82,36.9,3.54,22,3.57,YES,10.876,10.3504,Lake and River,25,YES,0
33.2,32.89,0.445,7.416,62.5,3.83,22,6.19,NO,6.564,13.2656,River,31,YES,1
27.5,38.56,0.52,6.727,79.9,3.1,19.1,9.42,YES,9.65,15.22,Lake,24,YES,0
26.5,38.56,0.52,6.781,71.3,3.15,19.1,7.67,YES,7.23,10.212,River,58,YES,1
18.6,38.56,0.52,6.405,85.4,3.03,19.1,10.63,NO,6.772,13.1488,Lake and River,57,YES,1
19.3,38.56,0.52,6.137,87.4,2.97,19.1,13.44,YES,6.886,14.1544,None,36,YES,1
20.1,38.56,0.52,6.167,90,2.63,19.1,12.33,YES,7.102,10.1608,None,20,YES,1
19.5,38.56,0.52,5.851,96.7,2.19,19.1,16.47,YES,7.89,13.156,None,57,YES,1
19.5,38.56,0.52,5.836,91.9,2.37,19.1,18.66,YES,10.29,14.156,Lake,20,YES,0
20.4,38.56,0.52,6.127,85.2,2.35,19.1,14.09,YES,6.008,14.1632,Lake and River,57,YES,0
19.8,38.56,0.52,6.474,97.1,2.72,19.1,12.27,NO,8.596,10.1584,Lake and River,48,YES,0
19.4,38.56,0.52,6.229,91.2,2.57,19.1,15.55,YES,9.788,14.1552,None,41,YES,0
21.7,38.56,0.52,6.195,54.4,3.05,19.1,13,YES,6.934,10.1736,None,37,YES,0
22.8,40.01,0.547,6.715,81.6,2.81,22.2,10.16,YES,5.656,13.1824,River,34,YES,1
18.8,40.01,0.547,5.913,92.9,2.55,22.2,16.21,YES,,15.1504,River,35,YES,0
18.7,40.01,0.547,6.092,95.4,2.59,22.2,17.09,YES,10.074,10.1496,River,59,YES,0
18.5,40.01,0.547,6.254,84.2,2.54,22.2,10.45,NO,6.67,12.148,Lake and River,39,YES,1
18.3,40.01,0.547,5.928,88.2,2.56,22.2,15.76,NO,7.566,11.1464,None,24,YES,1
21.2,40.01,0.547,6.176,72.5,2.93,22.2,12.04,NO,6.524,13.1696,None,23,YES,1
19.2,40.01,0.547,6.021,82.6,2.77,22.2,10.3,NO,9.484,15.1536,Lake and River,28,YES,1
20.4,40.01,0.547,5.872,73.1,2.8,22.2,15.37,YES,8.008,14.1632,River,40,YES,0
19.3,40.01,0.547,5.731,65.2,2.96,22.2,13.61,YES,10.186,11.1544,River,20,YES,1
22,55.65,0.581,5.87,69.7,2.4,20.9,14.37,YES,7.84,10.176,River,23,YES,1
20.3,55.65,0.581,6.004,84.1,2.44,20.9,14.27,YES,9.706,10.1624,Lake and River,39,YES,1
20.5,55.65,0.581,5.961,92.9,2.34,20.9,17.93,YES,8.91,10.164,None,51,YES,1
17.3,55.65,0.581,5.856,97,2.22,20.9,25.41,YES,9.146,10.1384,Lake,51,YES,0
18.8,55.65,0.581,5.879,95.8,2.21,20.9,17.58,NO,6.276,13.1504,River,56,YES,0
21.4,55.65,0.581,5.986,88.4,2.13,20.9,14.81,YES,8.128,14.1712,Lake,22,YES,0
15.7,55.65,0.581,5.613,95.6,1.93,20.9,27.26,NO,7.714,10.1256,Lake,42,YES,0
16.2,51.89,0.624,5.693,96,2.09,18.8,17.19,YES,5.924,15.1296,None,31,YES,0
18,51.89,0.624,6.431,98.8,1.96,18.8,15.39,NO,8.16,14.144,None,41,YES,0
14.3,51.89,0.624,5.637,94.7,2.3,18.8,18.34,YES,7.886,10.1144,Lake,30,YES,0
19.2,51.89,0.624,6.458,98.9,2.37,18.8,12.6,YES,8.984,13.1536,None,25,YES,0
19.6,51.89,0.624,6.326,97.7,2.54,18.8,12.26,YES,7.592,12.1568,None,29,YES,0
23,51.89,0.624,6.372,97.9,2.41,18.8,11.12,YES,8.96,12.184,Lake and River,57,YES,1
18.4,51.89,0.624,5.822,95.4,2.73,18.8,15.03,YES,10.268,10.1472,Lake and River,58,YES,1
15.6,51.89,0.624,5.757,98.4,2.35,18.8,17.31,NO,9.012,11.1248,Lake and River,32,YES,1
18.1,51.89,0.624,6.335,98.2,2.22,18.8,16.96,YES,7.862,11.1448,River,37,YES,1
17.4,51.89,0.624,5.942,93.5,2.26,18.8,16.9,NO,10.148,10.1392,River,37,YES,1
17.1,51.89,0.624,6.454,98.4,2.15,18.8,14.59,YES,6.942,11.1368,None,40,YES,1
13.3,51.89,0.624,5.857,98.2,1.89,18.8,21.32,NO,8.066,14.1064,River,39,YES,1
17.8,51.89,0.624,6.151,97.9,1.91,18.8,18.46,YES,8.656,10.1424,Lake,29,YES,0
14,51.89,0.624,6.174,93.6,1.86,18.8,24.16,NO,5.68,10.112,Lake,28,YES,0
14.4,51.89,0.624,5.019,100,1.63,18.8,34.41,YES,9.988,12.1152,None,43,YES,0
13.4,49.58,0.871,5.403,100,1.34,25.3,26.82,YES,5.268,13.1072,River,42,YES,0
15.6,49.58,0.871,5.468,100,1.64,25.3,26.42,YES,7.312,13.1248,None,25,YES,0
11.8,49.58,0.871,4.903,97.8,1.48,25.3,29.29,YES,6.636,13.0944,River,52,YES,0
13.8,49.58,0.871,6.13,100,1.69,25.3,27.8,YES,7.776,10.1104,River,59,YES,1
15.6,49.58,0.871,5.628,100,1.82,25.3,16.65,YES,5.612,10.1248,River,32,YES,1
14.6,49.58,0.871,4.926,95.7,1.77,25.3,29.53,NO,6.892,11.1168,None,24,YES,0
17.8,49.58,0.871,5.186,93.8,1.58,25.3,28.32,NO,9.856,14.1424,Lake,43,YES,0
15.4,49.58,0.871,5.597,94.9,1.76,25.3,21.45,NO,10.108,15.1232,None,48,YES,1
21.5,49.58,0.871,6.122,97.3,1.65,25.3,14.1,NO,5.53,12.172,River,34,YES,0
19.6,49.58,0.871,5.404,100,1.86,25.3,13.28,NO,6.492,11.1568,River,42,YES,0
15.3,49.58,0.871,5.012,88,1.82,25.3,12.12,YES,5.406,10.1224,None,46,YES,0
19.4,49.58,0.871,5.709,98.5,1.78,25.3,15.79,NO,6.088,12.1552,None,58,YES,1
17,49.58,0.871,6.129,96,1.77,25.3,15.12,NO,7.44,15.136,Lake and River,48,YES,1
15.6,49.58,0.871,6.152,82.6,1.88,25.3,15.02,NO,9.912,11.1248,River,37,YES,1
13.1,49.58,0.871,5.272,94,1.99,25.3,16.14,NO,6.362,10.1048,River,60,YES,0
41.3,49.58,0.605,6.943,97.4,1.99,25.3,4.59,YES,8.226,13.3304,None,57,YES,0
24.3,49.58,0.605,6.066,100,1.96,25.3,6.43,NO,8.886,13.1944,River,46,YES,1
23.3,49.58,0.871,6.51,100,1.84,25.3,7.39,YES,7.166,12.1864,Lake,36,YES,1
27,49.58,0.605,6.25,92.6,1.86,25.3,5.5,YES,8.44,12.216,Lake,23,YES,0
50,49.58,0.605,7.489,90.8,2.17,25.3,1.73,YES,10.5,11.4,None,35,YES,0
50,49.58,0.605,7.802,98.2,2.26,25.3,1.92,YES,8.4,12.4,Lake,22,YES,0
50,49.58,0.605,8.375,93.9,2.26,25.3,3.32,YES,8,12.4,River,57,YES,0
22.7,49.58,0.605,5.854,91.8,2.71,25.3,11.64,YES,8.354,15.1816,Lake,56,YES,1
25,49.58,0.605,6.101,93,2.37,25.3,9.81,YES,10,12.2,River,22,YES,1
50,49.58,0.605,7.929,96.2,2.11,25.3,3.7,YES,8.3,15.4,River,37,YES,0
23.8,49.58,0.605,5.877,79.2,2.69,25.3,12.14,YES,10.076,10.1904,Lake,22,YES,1
23.8,49.58,0.605,6.319,96.1,2.29,25.3,11.1,NO,6.676,11.1904,None,23,YES,1
22.3,49.58,0.605,6.402,95.2,2.3,25.3,11.32,NO,5.546,15.1784,Lake and River,22,YES,1
17.4,49.58,0.605,5.875,94.6,2.7,25.3,14.43,NO,7.948,11.1392,Lake,28,YES,1
19.1,49.58,0.605,5.88,97.3,2.62,25.3,12.03,NO,9.782,12.1528,River,54,YES,1
23.1,34.05,0.51,5.572,88.5,2.7,23.4,14.69,NO,9.362,12.1848,River,38,YES,1
23.6,34.05,0.51,6.416,84.1,2.86,23.4,9.04,YES,9.872,10.1888,None,59,YES,1
22.6,34.05,0.51,5.859,68.7,2.84,23.4,9.64,YES,9.752,15.1808,River,35,YES,1
29.4,34.05,0.51,6.546,33.1,3.22,23.4,5.33,YES,6.188,12.2352,None,48,YES,0
23.2,34.05,0.51,6.02,47.2,3.75,23.4,10.11,YES,8.564,15.1856,Lake,49,YES,1
24.6,34.05,0.51,6.315,73.4,3.35,23.4,6.29,YES,7.092,14.1968,Lake,31,YES,1
29.9,34.05,0.51,6.86,74.4,3.19,23.4,6.92,NO,5.898,11.2392,None,28,YES,0
37.2,32.46,0.488,6.98,58.4,3.11,22.2,5.04,NO,9.744,11.2976,Lake,50,YES,0
39.8,32.46,0.488,7.765,83.3,2.98,22.2,7.56,YES,8.496,14.3184,Lake and River,60,YES,0
36.2,32.46,0.488,6.144,62.2,2.69,22.2,9.45,YES,6.624,15.2896,River,59,YES,0
37.9,32.46,0.488,7.155,92.2,2.72,22.2,4.82,YES,9.258,15.3032,River,56,YES,0
32.5,32.46,0.488,6.563,95.6,3.04,22.2,5.68,YES,7.35,14.26,Lake,60,YES,0
26.4,32.46,0.488,5.604,89.8,3.06,22.2,13.98,YES,9.928,10.2112,Lake,27,YES,1
29.6,32.46,0.488,6.153,68.8,3.43,22.2,13.15,YES,8.192,11.2368,Lake,45,YES,1
50,32.46,0.488,7.831,53.6,3.45,22.2,4.45,YES,6,13.4,Lake,35,YES,0
32,33.44,0.437,6.782,41.1,3.81,24.8,6.68,YES,7.84,13.256,River,23,YES,0
29.8,33.44,0.437,6.556,29.1,4.62,24.8,4.56,YES,7.596,10.2384,River,40,YES,1
34.9,33.44,0.437,7.185,38.9,4.83,24.8,5.39,NO,9.298,14.2792,River,20,YES,0
33,33.44,0.437,6.951,21.5,6.54,24.8,5.1,NO,6.16,11.264,None,55,YES,0
30.5,33.44,0.437,6.739,30.8,6.71,24.8,4.69,NO,8.81,11.244,None,40,YES,1
36.4,33.44,0.437,7.178,26.3,6.76,24.8,2.87,YES,10.528,11.2912,Lake,40,YES,1
31.1,32.93,0.401,6.8,9.9,6.46,24.4,5.03,NO,6.822,13.2488,River,24,YES,1
29.1,32.93,0.401,6.604,18.8,6.51,24.4,4.38,NO,9.282,14.2328,River,59,YES,1
50,30.46,0.422,7.875,32,5.81,25.6,2.97,YES,8.2,14.4,River,26,YES,0
33.3,31.52,0.404,7.287,34.1,7.58,27.4,4.08,YES,7.266,15.2664,Lake and River,20,YES,1
30.3,31.52,0.404,7.107,36.6,7.64,27.4,8.61,YES,6.906,14.2424,Lake and River,24,YES,1
34.6,31.52,0.404,7.274,38.3,7.53,27.4,6.62,NO,10.192,14.2768,Lake,43,YES,1
34.9,31.47,0.403,6.975,15.3,7.97,23,4.56,YES,7.998,13.2792,None,24,YES,1
32.9,31.47,0.403,7.135,13.9,7.79,23,4.45,NO,5.958,10.2632,Lake,22,YES,0
24.1,32.03,0.415,6.162,38.4,6.4,25.3,7.43,YES,7.782,12.1928,River,32,YES,0
42.3,32.03,0.415,7.61,15.7,6.35,25.3,3.11,NO,10.546,14.3384,Lake and River,30,YES,0
48.5,32.68,0.4161,7.853,33.2,5.37,25.3,3.81,NO,8.77,11.388,None,22,YES,0
50,32.68,0.4161,8.034,31.9,5.41,25.3,2.88,YES,8.9,15.4,River,51,YES,0
22.6,40.59,0.489,5.891,22.3,4.24,21.4,10.87,YES,7.952,15.1808,River,26,YES,0
24.4,40.59,0.489,6.326,52.5,4.63,21.4,10.97,YES,6.688,11.1952,River,52,YES,1
22.5,40.59,0.489,5.783,72.7,4.64,21.4,18.06,YES,7.95,10.18,None,38,YES,0
24.4,40.59,0.489,6.064,59.1,4.3,21.4,14.66,YES,6.888,14.1952,None,31,YES,0
20,40.59,0.489,5.344,100,3.95,21.4,23.09,NO,7.9,13.16,None,60,YES,0
21.7,40.59,0.489,5.96,92.1,3.91,21.4,17.27,YES,8.034,12.1736,None,36,YES,0
19.3,40.59,0.489,5.404,88.6,3.99,21.4,23.98,NO,5.986,14.1544,River,39,YES,0
22.4,40.59,0.489,5.807,53.8,3.66,21.4,16.03,YES,6.848,13.1792,River,20,YES,0
28.1,40.59,0.489,6.375,32.3,4.11,21.4,9.38,YES,7.562,10.2248,None,3,YES,1
23.7,40.59,0.489,5.412,9.8,3.68,21.4,29.55,YES,5.674,11.1896,None,21,YES,0
25,40.59,0.489,6.182,42.4,4.15,21.4,9.47,YES,,12.2,Lake,30,YES,0
23.3,43.89,0.55,5.888,56,3.44,23.6,13.51,YES,5.466,12.1864,Lake and River,22,YES,1
28.7,43.89,0.55,6.642,85.1,3.52,23.6,9.69,NO,9.274,14.2296,None,23,YES,1
21.5,43.89,0.55,5.951,93.8,2.92,23.6,17.92,YES,8.73,14.172,None,49,YES,0
23,43.89,0.55,6.373,92.4,3.65,23.6,10.5,YES,6.16,13.184,None,21,YES,1
26.7,36.2,0.507,6.951,88.5,3.03,22.6,9.71,NO,8.734,11.2136,River,23,YES,0
21.7,36.2,0.507,6.164,91.3,3.31,22.6,21.46,YES,5.734,14.1736,None,37,YES,0
27.5,36.2,0.507,6.879,77.7,3.41,22.6,9.93,YES,9.45,12.22,Lake and River,50,YES,0
30.1,36.2,0.507,6.618,80.8,3.5,22.6,7.6,YES,9.702,12.2408,River,39,YES,0
44.8,36.2,0.504,8.266,78.3,2.96,22.6,4.14,YES,6.796,12.3584,Lake,47,YES,0
50,36.2,0.504,8.725,83,3.13,22.6,4.63,YES,7.5,13.4,River,20,YES,0
37.6,36.2,0.504,8.04,86.5,3.49,22.6,3.13,YES,5.952,10.3008,Lake and River,54,YES,1
31.6,36.2,0.504,7.163,79.9,3.31,22.6,6.36,NO,6.332,10.2528,River,34,YES,0
46.7,36.2,0.504,7.686,17,3.55,22.6,3.92,YES,10.134,14.3736,Lake,43,YES,0
31.5,36.2,0.504,6.552,21.4,3.56,22.6,3.76,YES,7.33,15.252,None,47,YES,0
24.3,36.2,0.504,5.981,68.1,3.97,22.6,11.65,NO,8.286,10.1944,None,59,YES,1
31.7,36.2,0.504,7.412,76.9,3.88,22.6,5.25,YES,6.734,10.2536,None,26,YES,0
41.7,36.2,0.507,8.337,73.3,4.06,22.6,2.47,YES,6.634,11.3336,River,28,YES,1
48.3,36.2,0.507,8.247,70.4,3.82,22.6,3.95,YES,9.066,11.3864,None,23,YES,0
29,36.2,0.507,6.726,66.5,3.67,22.6,8.05,YES,9.88,13.232,River,32,YES,1
24,36.2,0.507,6.086,61.5,3.91,22.6,10.88,YES,9.18,14.192,None,57,YES,0
25.1,36.2,0.507,6.631,76.5,4.46,22.6,9.54,YES,9.402,15.2008,Lake and River,36,YES,0
31.5,36.2,0.507,7.358,71.6,4.24,22.6,4.73,YES,10.53,12.252,River,34,YES,1
23.7,34.93,0.428,6.481,18.5,6.26,23.4,6.36,YES,7.374,12.1896,Lake and River,48,YES,0
23.3,34.93,0.428,6.606,42.2,6.25,23.4,7.37,NO,5.566,15.1864,Lake and River,51,YES,0
27,34.93,0.428,6.897,54.3,6.49,23.4,11.38,YES,10.24,11.216,None,24,YES,0
20.1,34.93,0.428,6.095,65.1,6.43,23.4,12.4,NO,8.302,13.1608,None,41,YES,1
22.2,34.93,0.428,6.358,52.9,7.11,23.4,11.22,YES,6.044,10.1776,River,42,YES,0
23.7,34.93,0.428,6.393,7.8,7.06,23.4,5.19,YES,7.374,15.1896,River,26,YES,1
17.6,35.86,0.431,5.593,76.5,8.15,20.9,12.5,NO,6.252,12.1408,None,42,YES,0
18.5,35.86,0.431,5.605,70.2,8.28,20.9,18.46,YES,9.27,10.148,None,59,YES,1
24.3,35.86,0.431,6.108,34.9,8.37,20.9,9.16,YES,7.086,11.1944,None,25,YES,0
20.5,35.86,0.431,6.226,79.2,8.17,20.9,10.15,NO,9.81,12.164,River,31,YES,0
24.5,35.86,0.431,6.433,49.1,8.05,20.9,9.52,YES,8.39,15.196,River,43,YES,0
26.2,35.86,0.431,6.718,17.5,8.08,20.9,6.56,YES,9.324,11.2096,None,39,YES,1
24.4,35.86,0.431,6.487,13,7.5,20.9,5.9,YES,6.188,14.1952,River,38,YES,1
24.8,35.86,0.431,6.438,8.9,7.43,20.9,3.59,NO,10.296,12.1984,Lake,50,YES,1
29.6,35.86,0.431,6.957,6.8,9.18,20.9,3.53,NO,8.992,12.2368,Lake and River,57,YES,0
42.8,35.86,0.431,8.259,8.4,9.03,20.9,3.54,NO,10.856,13.3424,River,53,YES,0
21.9,33.64,0.392,6.108,32,9.39,23.6,6.57,NO,6.538,12.1752,River,56,YES,0
20.9,33.64,0.392,5.876,19.1,9.23,23.6,9.25,NO,7.818,15.1672,None,31,YES,0
44,33.75,0.394,7.454,34.2,6.66,24.1,3.11,NO,6.68,13.352,River,38,YES,0
50,33.97,0.647,8.704,86.9,2.09,27,5.12,YES,8.6,11.4,River,54,YES,0
36,33.97,0.647,7.333,100,2.2,27,7.79,YES,8.02,15.288,River,58,YES,1
30.1,33.97,0.647,6.842,100,2.2,27,6.9,YES,7.302,11.2408,River,40,YES,1
33.8,33.97,0.647,7.203,81.8,2.12,27,9.59,YES,,11.2704,Lake,21,YES,1
43.1,33.97,0.647,7.52,89.4,2.4,27,7.26,YES,6.662,11.3448,Lake and River,24,YES,0
